ncsim: 10.20-s100: (c) Copyright 1995-2011 Cadence Design Systems, Inc.

-------------------------------------
Relinquished control to SimVision...
ncsim> 
ncsim> database -open waves -into waves.shm -default
Created default SHM database waves
ncsim> probe -create -shm rca_tb.a rca_tb.b rca_tb.cin rca_tb.cout rca_tb.i rca_tb.j rca_tb.k rca_tb.sum
Created probe 1
ncsim> run
Time=1110, a=6, b=15, cin=0, cout=1, sum=5
Time=1115, a=6, b=15, cin=1, cout=1, sum=6
Time=1120, a=7, b=0, cin=0, cout=0, sum=7
Time=1125, a=7, b=0, cin=1, cout=0, sum=8
Time=1130, a=7, b=1, cin=0, cout=0, sum=8
Time=1135, a=7, b=1, cin=1, cout=0, sum=9
Time=1140, a=7, b=2, cin=0, cout=0, sum=9
Time=1145, a=7, b=2, cin=1, cout=0, sum=10
Time=1150, a=7, b=3, cin=0, cout=0, sum=10
Time=1155, a=7, b=3, cin=1, cout=0, sum=11
Time=1160, a=7, b=4, cin=0, cout=0, sum=11
Time=1165, a=7, b=4, cin=1, cout=0, sum=12
Time=1170, a=7, b=5, cin=0, cout=0, sum=12
Time=1175, a=7, b=5, cin=1, cout=0, sum=13
Time=1180, a=7, b=6, cin=0, cout=0, sum=13
Time=1185, a=7, b=6, cin=1, cout=0, sum=14
Time=1190, a=7, b=7, cin=0, cout=0, sum=14
Time=1195, a=7, b=7, cin=1, cout=0, sum=15
Time=1200, a=7, b=8, cin=0, cout=0, sum=15
Time=1205, a=7, b=8, cin=1, cout=1, sum=0
Time=1210, a=7, b=9, cin=0, cout=1, sum=0
Time=1215, a=7, b=9, cin=1, cout=1, sum=1
Time=1220, a=7, b=10, cin=0, cout=1, sum=1
Time=1225, a=7, b=10, cin=1, cout=1, sum=2
Time=1230, a=7, b=11, cin=0, cout=1, sum=2
Time=1235, a=7, b=11, cin=1, cout=1, sum=3
Time=1240, a=7, b=12, cin=0, cout=1, sum=3
Time=1245, a=7, b=12, cin=1, cout=1, sum=4
Time=1250, a=7, b=13, cin=0, cout=1, sum=4
Time=1255, a=7, b=13, cin=1, cout=1, sum=5
Time=1260, a=7, b=14, cin=0, cout=1, sum=5
Time=1265, a=7, b=14, cin=1, cout=1, sum=6
Time=1270, a=7, b=15, cin=0, cout=1, sum=6
Time=1275, a=7, b=15, cin=1, cout=1, sum=7
Time=1280, a=8, b=0, cin=0, cout=0, sum=8
Time=1285, a=8, b=0, cin=1, cout=0, sum=9
Time=1290, a=8, b=1, cin=0, cout=0, sum=9
Time=1295, a=8, b=1, cin=1, cout=0, sum=10
Time=1300, a=8, b=2, cin=0, cout=0, sum=10
Time=1305, a=8, b=2, cin=1, cout=0, sum=11
Time=1310, a=8, b=3, cin=0, cout=0, sum=11
Time=1315, a=8, b=3, cin=1, cout=0, sum=12
Time=1320, a=8, b=4, cin=0, cout=0, sum=12
Time=1325, a=8, b=4, cin=1, cout=0, sum=13
Time=1330, a=8, b=5, cin=0, cout=0, sum=13
Time=1335, a=8, b=5, cin=1, cout=0, sum=14
Time=1340, a=8, b=6, cin=0, cout=0, sum=14
Time=1345, a=8, b=6, cin=1, cout=0, sum=15
Time=1350, a=8, b=7, cin=0, cout=0, sum=15
Time=1355, a=8, b=7, cin=1, cout=1, sum=0
Time=1360, a=8, b=8, cin=0, cout=1, sum=0
Time=1365, a=8, b=8, cin=1, cout=1, sum=1
Time=1370, a=8, b=9, cin=0, cout=1, sum=1
Time=1375, a=8, b=9, cin=1, cout=1, sum=2
Time=1380, a=8, b=10, cin=0, cout=1, sum=2
Time=1385, a=8, b=10, cin=1, cout=1, sum=3
Time=1390, a=8, b=11, cin=0, cout=1, sum=3
Time=1395, a=8, b=11, cin=1, cout=1, sum=4
Time=1400, a=8, b=12, cin=0, cout=1, sum=4
Time=1405, a=8, b=12, cin=1, cout=1, sum=5
Time=1410, a=8, b=13, cin=0, cout=1, sum=5
Time=1415, a=8, b=13, cin=1, cout=1, sum=6
Time=1420, a=8, b=14, cin=0, cout=1, sum=6
Time=1425, a=8, b=14, cin=1, cout=1, sum=7
Time=1430, a=8, b=15, cin=0, cout=1, sum=7
Time=1435, a=8, b=15, cin=1, cout=1, sum=8
Time=1440, a=9, b=0, cin=0, cout=0, sum=9
